screen_name,assertive_score,factives_score,hedges_score,implicatives_score,report_score
100PercFEDUP,29,16,44,38,64
ABC,202,51,219,83,418
AP,194,48,193,56,308
ActivistPost,15,13,37,21,46
AddInfoOrg,0,0,0,0,0
AnonymousNewsHQ,0,1,5,1,0
AntiMedia,19,17,24,7,33
BBCWorld,47,15,59,24,93
BIZPACReview,59,14,108,22,195
Bipartisanism,21,5,17,11,28
BlacklistedNews,11,0,10,6,16
CBSNews,221,68,260,73,423
CNN,204,85,366,156,423
CRG_CRM,0,0,1,0,0
Counter_info,0,0,1,2,1
DCClothesline,0,5,15,5,3
DiscloseTV,0,0,1,0,0
ForeignAffairs,15,4,102,53,75
FoxNews,225,92,279,137,409
HealthRanger,14,11,59,41,46
HenryMakow,21,14,31,11,46
HuffPost,24,19,73,26,63
InvestWatchBlog,27,18,56,33,79
KingWorldNews,0,0,0,0,0
LibAmericaOrg,3,1,6,10,3
LightAlexander,0,0,0,0,0
MSNBC,49,22,70,31,119
MintPressNews,11,7,19,10,22
NBCNews,130,28,147,61,264
NPR,128,68,271,100,274
NRO,29,28,100,42,94
NatCounterPunch,6,5,13,16,15
NewRepublic,47,31,133,49,106
NewYorker,38,27,147,56,112
NewsBiscuit,3,2,6,5,9
NowTheEndBegins,3,4,5,1,7
OccupyDemocrats,24,13,28,26,44
RealNewsTarget,13,8,37,20,39
Reuters,108,25,161,35,253
SGTreport,2,1,11,2,6
SOTTnet,50,25,110,46,136
SatiraTribune,1,2,0,0,1
SilverDoctors,0,0,0,0,0
Slate,83,84,350,159,295
SleuthJournal,0,0,0,0,0
TIME,113,93,302,114,248
TRUNEWS,8,6,19,8,20
TheAtlantic,62,22,203,59,162
TheDailySheeple,5,5,11,5,15
TheEconomist,108,21,300,108,224
TheEvent2014,1,0,6,3,3
TwitchyTeam,25,12,87,21,84
USATODAY,132,70,302,115,299
WSJ,109,33,191,105,235
WakingTimes,0,0,3,0,0
WorldTruthTV,0,2,1,1,1
YahooNews,122,47,178,60,288
barenakedislam,4,7,23,6,17
bigpzone,0,0,0,0,0
business,247,71,618,196,519
csmonitor,98,204,501,220,459
engpravda,4,7,2,10,12
govtslaves,8,2,26,12,28
guardian,212,99,450,160,566
infowars,16,6,25,15,36
intellihubnews,7,2,9,3,15
latimes,107,38,182,62,221
ncscooper,0,1,1,0,0
nytimes,113,110,297,71,270
politico,103,76,344,110,294
politicususa,2,5,10,4,7
realDailyWire,14,9,26,17,38
realtruthkings,18,15,34,16,43
redflagnews,3,0,5,2,8
rinf_community,42,11,79,26,118
theinquisitr,0,0,0,0,0
thenation,24,21,71,30,88
therussophile,178,81,381,150,497
vigilantfeed,0,0,0,0,0
washingtonpost,113,67,286,114,286
weeklystandard,7,3,24,9,24
yournewswire,4,0,14,6,12
zerohedge,56,6,100,22,106
